Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2014-143336,27/11/2014,01/12/2014,Standard Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10004977,Technology,Phones,Polycom ViewStation FX VS4000,2309.65,5,0.90,-2309.65
CA-2014-143336,27/11/2014,01/12/2014,Standard Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10000474,Office Supplies,Binders,Cardinal Slant-D Ring Binder Heavy Gauge Vinyl,15.76,2,0.00,5.0432
CA-2014-143336,27/11/2014,01/12/2014,Standard Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AP-10002684,Office Supplies,Appliances,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,17.46,3,0.10,4.1538
CA-2014-143336,27/11/2014,01/12/2014,Standard Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,GBC Pre-Punched Binding Paper 19-Hole for Spiral Binding,46.71,3,0.10,18.9594
CA-2014-143336,27/11/2014,01/12/2014,Standard Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-EN-10001509,Office Supplies,Envelopes,Konfidence Envelopes by Konfidence,5.78,2,0.10,2.1462
CA-2014-143336,27/11/2014,01/12/2014,Standard Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-ST-10000107,Office Supplies,Storage,Advantus Rolling Storage Cart,78.69,3,0.80,-47.214
CA-2014-143336,27/11/2014,01/12/2014,Standard Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,8.56,2,0.00,3.424
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10004675,Office Supplies,Paper,Xerox 1881,16.448,2,0.00,7.3416
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,TEC-AC-10003664,Technology,Accessories,Logitech LS21 2.1 Stereo Speaker System,71.372,2,0.20,21.1932
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Flexible Poly Round Ring Binders,21.78,3,0.20,7.8408
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-ST-10004186,Office Supplies,Storage,SAFCO Mobile Desk Side File Wire Frame,214.85,5,0.00,75.1975
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-EN-10001287,Office Supplies,Envelopes,Poly String Tie Envelopes,9.618,3,0.10,4.0356
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-BI-10002309,Office Supplies,Binders,Avery Binders,46.128,4,0.20,18.9528
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,FUR-CH-10002774,Furniture,Chairs,Global Deluxe Stacking Chair Mohair Olefin,132.558,3,0.10,22.9356
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,FUR-BO-10004834,Furniture,Bookcases,Riverside Palais Royal Lawyers Bookcase Royale Cherry Finish,1044.63,3,0.00,240.2649
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,TEC-AC-10000171,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,29.472,3,0.20,13.1628
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-BI-10001460,Office Supplies,Binders,Acco Presstex ColorLife Classification Folders Letter Size Light Blue,15.26,2,0.00,7.0196
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-BI-10000756,Office Supplies,Binders,Ibico EPK-21 Electric Binding System,244.57,1,0.00,72.7044
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-FA-10001146,Office Supplies,Fasteners,Advantus Map Pennant Flags and Round Head Tacks,18.5,5,0.20,9.3848
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10001134,Office Supplies,Paper,Array Memo Cubes,12.29,1,0.00,5.6134
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-LA-10000134,Office Supplies,Labels,Avery 508,31.12,4,0.00,13.6928
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-ST-10000615,Office Supplies,Storage,File Folder Frames Hanging Folder Frames,58.05,5,0.45,-14.5125
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-SU-10000618,Office Supplies,Supplies,Xerox 20,29.6,4,0.00,14.8
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-AR-10000246,Office Supplies,Art,Prang Metallic Tempera Paints,12.96,3,0.20,5.1966
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-BI-10000545,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,55.5,3,0.00,26.64
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-AP-10004713,Office Supplies,Appliances,Black Print Ribbon,15.89,1,0.00,6.0382
CA-2017-114412,15/04/2017,22/04/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-BI-10004094,Office Supplies,Binders,Avery Durable Poly Binders,26.22,3,0.00,10.488
